Gameweek,HomeAbbrev,AwayAbbrev,H/A
1,LIV,BOU,H
1,AVL,NEW,H
1,BHA,FUL,H
1,NOT,BRF,H
1,SUN,WHU,H
1,TOT,BUR,H
1,WOL,MCI,H
1,CHE,CRY,H
1,MUN,ARS,H
1,LEE,EVE,H
1,BOU,LIV,A
1,NEW,AVL,A
1,FUL,BHA,A
1,BRF,NOT,A
1,WHU,SUN,A
1,BUR,TOT,A
1,MCI,WOL,A
1,CRY,CHE,A
1,ARS,MUN,A
1,EVE,LEE,A
2,BOU,WOL,H
2,ARS,LEE,H
2,BRF,AVL,H
2,BUR,SUN,H
2,CRY,NOT,H
2,EVE,BHA,H
2,FUL,MUN,H
2,MCI,TOT,H
2,NEW,LIV,H
2,WHU,CHE,H
2,WOL,BOU,A
2,LEE,ARS,A
2,AVL,BRF,A
2,SUN,BUR,A
2,NOT,CRY,A
2,BHA,EVE,A
2,MUN,FUL,A
2,TOT,MCI,A
2,LIV,NEW,A
2,CHE,WHU,A
3,AVL,CRY,H
3,BHA,MCI,H
3,CHE,FUL,H
3,LEE,NEW,H
3,LIV,ARS,H
3,MUN,BUR,H
3,NOT,WHU,H
3,SUN,BRF,H
3,TOT,BOU,H
3,WOL,EVE,H
3,CRY,AVL,A
3,MCI,BHA,A
3,FUL,CHE,A
3,NEW,LEE,A
3,ARS,LIV,A
3,BUR,MUN,A
3,WHU,NOT,A
3,BRF,SUN,A
3,BOU,TOT,A
3,EVE,WOL,A
4,BOU,BHA,H
4,ARS,NOT,H
4,BRF,CHE,H
4,BUR,LIV,H
4,CRY,SUN,H
4,EVE,AVL,H
4,FUL,LEE,H
4,MCI,MUN,H
4,NEW,WOL,H
4,WHU,TOT,H
4,BHA,BOU,A
4,NOT,ARS,A
4,CHE,BRF,A
4,LIV,BUR,A
4,SUN,CRY,A
4,AVL,EVE,A
4,LEE,FUL,A
4,MUN,MCI,A
4,WOL,NEW,A
4,TOT,WHU,A
5,ARS,MCI,H
5,BHA,TOT,H
5,BUR,NOT,H
5,FUL,BRF,H
5,LIV,EVE,H
5,MUN,CHE,H
5,SUN,AVL,H
5,WHU,CRY,H
5,WOL,LEE,H
5,MCI,ARS,A
5,TOT,BHA,A
5,NOT,BUR,A
5,BRF,FUL,A
5,EVE,LIV,A
5,CHE,MUN,A
5,AVL,SUN,A
5,CRY,WHU,A
5,LEE,WOL,A
5,BOU,NEW,H
5,NEW,BOU,A
6,AVL,FUL,H
6,BRF,MUN,H
6,CHE,BHA,H
6,CRY,LIV,H
6,EVE,WHU,H
6,LEE,BOU,H
6,MCI,BUR,H
6,NEW,ARS,H
6,NOT,SUN,H
6,TOT,WOL,H
6,FUL,AVL,A
6,MUN,BRF,A
6,BHA,CHE,A
6,LIV,CRY,A
6,WHU,EVE,A
6,BOU,LEE,A
6,BUR,MCI,A
6,ARS,NEW,A
6,SUN,NOT,A
6,WOL,TOT,A
7,BOU,FUL,H
7,ARS,WHU,H
7,AVL,BUR,H
7,BRF,MCI,H
7,CHE,LIV,H
7,EVE,CRY,H
7,LEE,TOT,H
7,MUN,SUN,H
7,NEW,NOT,H
7,WOL,BHA,H
7,FUL,BOU,A
7,WHU,ARS,A
7,BUR,AVL,A
7,MCI,BRF,A
7,LIV,CHE,A
7,CRY,EVE,A
7,TOT,LEE,A
7,SUN,MUN,A
7,NOT,NEW,A
7,BHA,WOL,A
8,BHA,NEW,H
8,BUR,LEE,H
8,CRY,BOU,H
8,FUL,ARS,H
8,LIV,MUN,H
8,MCI,EVE,H
8,NOT,CHE,H
8,SUN,WOL,H
8,TOT,AVL,H
8,WHU,BRF,H
8,NEW,BHA,A
8,LEE,BUR,A
8,BOU,CRY,A
8,ARS,FUL,A
8,MUN,LIV,A
8,EVE,MCI,A
8,CHE,NOT,A
8,WOL,SUN,A
8,AVL,TOT,A
8,BRF,WHU,A
9,BOU,NOT,H
9,ARS,CRY,H
9,AVL,MCI,H
9,BRF,LIV,H
9,CHE,SUN,H
9,EVE,TOT,H
9,LEE,WHU,H
9,MUN,BHA,H
9,NEW,FUL,H
9,WOL,BUR,H
9,NOT,BOU,A
9,CRY,ARS,A
9,MCI,AVL,A
9,LIV,BRF,A
9,SUN,CHE,A
9,TOT,EVE,A
9,WHU,LEE,A
9,BHA,MUN,A
9,FUL,NEW,A
9,BUR,WOL,A
10,BHA,LEE,H
10,BUR,ARS,H
10,CRY,BRF,H
10,FUL,WOL,H
10,LIV,AVL,H
10,MCI,BOU,H
10,NOT,MUN,H
10,SUN,EVE,H
10,TOT,CHE,H
10,WHU,NEW,H
10,LEE,BHA,A
10,ARS,BUR,A
10,BRF,CRY,A
10,WOL,FUL,A
10,AVL,LIV,A
10,BOU,MCI,A
10,MUN,NOT,A
10,EVE,SUN,A
10,CHE,TOT,A
10,NEW,WHU,A
11,AVL,BOU,H
11,BRF,NEW,H
11,CHE,WOL,H
11,CRY,BHA,H
11,EVE,FUL,H
11,MCI,LIV,H
11,NOT,LEE,H
11,SUN,ARS,H
11,TOT,MUN,H
11,WHU,BUR,H
11,BOU,AVL,A
11,NEW,BRF,A
11,WOL,CHE,A
11,BHA,CRY,A
11,FUL,EVE,A
11,LIV,MCI,A
11,LEE,NOT,A
11,ARS,SUN,A
11,MUN,TOT,A
11,BUR,WHU,A
12,BOU,WHU,H
12,ARS,TOT,H
12,BHA,BRF,H
12,BUR,CHE,H
12,FUL,SUN,H
12,LEE,AVL,H
12,LIV,NOT,H
12,MUN,EVE,H
12,NEW,MCI,H
12,WOL,CRY,H
12,WHU,BOU,A
12,TOT,ARS,A
12,BRF,BHA,A
12,CHE,BUR,A
12,SUN,FUL,A
12,AVL,LEE,A
12,NOT,LIV,A
12,EVE,MUN,A
12,MCI,NEW,A
12,CRY,WOL,A
13,AVL,WOL,H
13,BRF,BUR,H
13,CHE,ARS,H
13,CRY,MUN,H
13,EVE,NEW,H
13,MCI,LEE,H
13,NOT,BHA,H
13,SUN,BOU,H
13,TOT,FUL,H
13,WHU,LIV,H
13,WOL,AVL,A
13,BUR,BRF,A
13,ARS,CHE,A
13,MUN,CRY,A
13,NEW,EVE,A
13,LEE,MCI,A
13,BHA,NOT,A
13,BOU,SUN,A
13,FUL,TOT,A
13,LIV,WHU,A
14,BOU,EVE,H
14,ARS,BRF,H
14,BHA,AVL,H
14,BUR,CRY,H
14,FUL,MCI,H
14,LEE,CHE,H
14,LIV,SUN,H
14,MUN,WHU,H
14,NEW,TOT,H
14,WOL,NOT,H
14,EVE,BOU,A
14,BRF,ARS,A
14,AVL,BHA,A
14,CRY,BUR,A
14,MCI,FUL,A
14,CHE,LEE,A
14,SUN,LIV,A
14,WHU,MUN,A
14,TOT,NEW,A
14,NOT,WOL,A
15,BOU,CHE,H
15,AVL,ARS,H
15,BHA,WHU,H
15,EVE,NOT,H
15,FUL,CRY,H
15,LEE,LIV,H
15,MCI,SUN,H
15,NEW,BUR,H
15,TOT,BRF,H
15,WOL,MUN,H
15,CHE,BOU,A
15,ARS,AVL,A
15,WHU,BHA,A
15,NOT,EVE,A
15,CRY,FUL,A
15,LIV,LEE,A
15,SUN,MCI,A
15,BUR,NEW,A
15,BRF,TOT,A
15,MUN,WOL,A
16,ARS,WOL,H
16,BRF,LEE,H
16,BUR,FUL,H
16,CHE,EVE,H
16,CRY,MCI,H
16,LIV,BHA,H
16,MUN,BOU,H
16,NOT,TOT,H
16,SUN,NEW,H
16,WHU,AVL,H
16,WOL,ARS,A
16,LEE,BRF,A
16,FUL,BUR,A
16,EVE,CHE,A
16,MCI,CRY,A
16,BHA,LIV,A
16,BOU,MUN,A
16,TOT,NOT,A
16,NEW,SUN,A
16,AVL,WHU,A
17,BOU,BUR,H
17,AVL,MUN,H
17,BHA,SUN,H
17,EVE,ARS,H
17,FUL,NOT,H
17,LEE,CRY,H
17,MCI,WHU,H
17,NEW,CHE,H
17,TOT,LIV,H
17,WOL,BRF,H
17,BUR,BOU,A
17,MUN,AVL,A
17,SUN,BHA,A
17,ARS,EVE,A
17,NOT,FUL,A
17,CRY,LEE,A
17,WHU,MCI,A
17,CHE,NEW,A
17,LIV,TOT,A
17,BRF,WOL,A
18,ARS,BHA,H
18,BRF,BOU,H
18,BUR,EVE,H
18,CHE,AVL,H
18,CRY,TOT,H
18,LIV,WOL,H
18,MUN,NEW,H
18,NOT,MCI,H
18,SUN,LEE,H
18,WHU,FUL,H
18,BHA,ARS,A
18,BOU,BRF,A
18,EVE,BUR,A
18,AVL,CHE,A
18,TOT,CRY,A
18,WOL,LIV,A
18,NEW,MUN,A
18,MCI,NOT,A
18,LEE,SUN,A
18,FUL,WHU,A
19,ARS,AVL,H
19,BRF,TOT,H
19,BUR,NEW,H
19,CHE,BOU,H
19,CRY,FUL,H
19,LIV,LEE,H
19,MUN,WOL,H
19,NOT,EVE,H
19,SUN,MCI,H
19,WHU,BHA,H
19,AVL,ARS,A
19,TOT,BRF,A
19,NEW,BUR,A
19,BOU,CHE,A
19,FUL,CRY,A
19,LEE,LIV,A
19,WOL,MUN,A
19,EVE,NOT,A
19,MCI,SUN,A
19,BHA,WHU,A
20,BOU,ARS,H
20,AVL,NOT,H
20,BHA,BUR,H
20,EVE,BRF,H
20,FUL,LIV,H
20,LEE,MUN,H
20,MCI,CHE,H
20,NEW,CRY,H
20,TOT,SUN,H
20,WOL,WHU,H
20,ARS,BOU,A
20,NOT,AVL,A
20,BUR,BHA,A
20,BRF,EVE,A
20,LIV,FUL,A
20,MUN,LEE,A
20,CHE,MCI,A
20,CRY,NEW,A
20,SUN,TOT,A
20,WHU,WOL,A
21,BOU,TOT,H
21,ARS,LIV,H
21,BRF,SUN,H
21,BUR,MUN,H
21,CRY,AVL,H
21,EVE,WOL,H
21,FUL,CHE,H
