"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*05gcr*","Bruno Fernandes","MUN","M","1","FA","MUN 3<br/>@BHA 0 F","644","18.4","100%","0%"
"*061vq*","Erling Haaland","MCI","F","2","FA","AVL 2<br/>@MCI 1 F","519.5","14.84","100%","0%"
"*068y0*","Antoine Semenyo","BOU/MCI","F","3","FA","AVL 2<br/>@MCI 1 F","451.25","12.2","100%","0%"
"*06mn0*","Igor Thiago","BRF","F","4","FA","BRF 1<br/>@LIV 1 F","447","11.76","99%","0%"
"*03vlj*","Virgil van Dijk","LIV","D","5","FA","BRF 1<br/>@LIV 1 F","432.25","11.38","100%","0%"
"*0427d*","James Tarkowski","EVE","D","6","FA","EVE 0<br/>@TOT 1 F","429","11.59","100%","0%"
"*06cmm*","Dominik Szoboszlai","LIV","M","7","FA","BRF 1<br/>@LIV 1 F","423.5","11.76","100%","0%"
"*04agz*","Declan Rice","ARS","M","8","FA","ARS 2<br/>@CRY 1 F","414.5","11.51","100%","0%"
"*050jq*","Marc Guehi","CRY/MCI","D","9","FA","AVL 2<br/>@MCI 1 F","414","11.83","99%","+1%"
"*04y92*","Bukayo Saka","ARS","M","11","FA","ARS 2<br/>@CRY 1 F","413.75","13.35","100%","0%"
"*046c5*","Jarrod Bowen","WHU","F","10","FA","LEE 0<br/>@WHU 3 F","413.75","10.89","0%","0%"
"*04qr9*","Morgan Gibbs-White","NOT","M","12","FA","BOU 1<br/>@NOT 1 F","411.5","11.12","100%","+1%"
"*04spw*","James Garner","EVE","M","13","FA","EVE 0<br/>@TOT 1 F","404.75","10.65","98%","+1%"
"*05nzu*","Gabriel Magalhaes","ARS","D","14","FA","ARS 2<br/>@CRY 1 F","400.5","12.52","100%","0%"
"*05opj*","Elliot Anderson","NOT","M","15","FA","BOU 1<br/>@NOT 1 F","399.75","10.52","99%","0%"
"*063e7*","Marcos Senesi","BOU","D","16","FA","BOU 1<br/>@NOT 1 F","398.25","10.76","98%","+1%"
"*05g2o*","Joao Pedro","CHE","F","17","FA","CHE 1<br/>@SUN 2 F","386.25","11.04","100%","0%"
"*06uyc*","Adrien Truffert","BOU","D","18","FA","BOU 1<br/>@NOT 1 F","380.75","10.02","98%","0%"
"*05oh0*","Jan-Paul van Hecke","BHA","D","19","FA","MUN 3<br/>@BHA 0 F","374.25","10.4","99%","0%"
"*05a6e*","Neco Williams","NOT","D","20","FA","BOU 1<br/>@NOT 1 F","373","10.08","99%","+3%"
"*068ym*","Enzo Fernandez","CHE","M","21","FA","CHE 1<br/>@SUN 2 F","370.5","10.29","100%","0%"
"*06zbx*","Anton Stach","LEE","M","22","FA","LEE 0<br/>@WHU 3 F","360","12.41","98%","+1%"
